LC_ID	DESCRIPTION	LC_cat_ID
1	Continuous_urban_fabric	1
2	Discontinuous_urban_fabric	1
3	Industrial_or_commercial_units	1
4	Road_and_rail_networks_and_associated_land	1
5	Port_areas	1
6	Airports	1
7	Mineral_extraction_sites	1
8	Dump_sites	1
9	Construction_sites	1
10	Green_urban_areas	2
11	Sport_and_leisure_facilities	2
12	Non-irrigated_arable_land	2
13	Permanently_irrigated_land	2
14	Rice_fields	2
15	Vineyards	2
16	Fruit_trees_and_berry_plantations	2
17	Olive_groves	2
18	Pastures	2
19	Annual_crops_associated_with_permanent_crops	2
20	Complex_cultivation_patterns	2
21	Land_principally_occupied_by_agriculture_with_significant_areas_of_natural_vegetation	2
22	Agro-forestry_areas	2
23	Broad-leaved_forest	3
24	Coniferous_forest	3
25	Mixed_forest	3
26	Natural_grasslands	2
27	Moors_and_heathland	2
28	Sclerophyllous_vegetation	2
29	Transitional_woodland-shrub	2
30	Beaches_dunes_sands	2
31	Bare_rocks	2
32	Sparsely_vegetated_areas	2
33	Burnt_areas	2
34	Glaciers_and_perpetual_snow	2
35	Inland_marshes	4
36	Peat_bogs	4
37	Salt_marshes	4
38	Salines	4
39	Intertidal_flats	4
40	Water_courses	4
41	Water_bodies	4
42	Coastal_lagoons	4
43	Estuaries	4
44	Sea_and_ocean	4
48	NODATA	NA
49	UNCLASSIFIED_LAND_SURFACE	NA
50	UNCLASSIFIED_WATER_BODIES	NA
